TF,CSS stands for Cascading Style Sheets.,true
TF,The color property in CSS is used to set the background color of an element.,false
TF,The padding property in CSS is used to create space within an element, inside of its border.,true
TF,The display property in CSS can be used to hide an element.,true
TF,In CSS, class selectors are denoted by a hash (#) symbol.,false
TF,The z-index property in CSS is used to specify the stack order of elements.,true
TF,The margin property in CSS adds space outside an element's border.,true
TF,Flexbox is a one-dimensional layout method in CSS.,true
TF,The background-image property in CSS is used to set an image as the background of an element.,true
TF,In CSS, you can use the !important rule to override other declarations.,true
